Namespace(attr_loss_weight=1.0, batch_size=64, bottleneck=False, ckpt='', connect_CY=False, data_dir='ConceptModel3__PredConcepts', dataset='cub', end2end=False, epochs=1000, exp='Sequential_CtoY', expand_dim=0, freeze=False, image_dir='images', log_dir='outputs/', lr=0.001, n_attributes=112, n_class_attr=2, no_img=True, normalize_loss=False, optimizer='sgd', pretrained=True, resampling=False, save_step=1000, scheduler_step=1000, seed=3, three_class=False, uncertain_labels=False, use_attr=True, use_aux=True, use_relu=False, use_sigmoid=False, weight_decay=4e-05, weighted_loss='')
None
train data path: ConceptModel3__PredConcepts/train.pkl
New model best model at epoch 0
Epoch [82]:	Train loss: 0.1400	Train accuracy: 97.7618	Val loss: 0.2222	Val acc: 95.0751	Best val epoch: 27
Epoch [83]:	Train loss: 0.1392	Train accuracy: 97.8041	Val loss: 0.2225	Val acc: 95.0751	Best val epoch: 27
Epoch [84]:	Train loss: 0.1413	Train accuracy: 97.6351	Val loss: 0.2250	Val acc: 94.8247	Best val epoch: 27
Epoch [85]:	Train loss: 0.1404	Train accuracy: 97.7618	Val loss: 0.2219	Val acc: 94.9082	Best val epoch: 27
Epoch [86]:	Train loss: 0.1367	Train accuracy: 97.8885	Val loss: 0.2245	Val acc: 94.9082	Best val epoch: 27
Epoch [87]:	Train loss: 0.1349	Train accuracy: 97.8674	Val loss: 0.2218	Val acc: 95.0751	Best val epoch: 27
Epoch [88]:	Train loss: 0.1369	Train accuracy: 97.8041	Val loss: 0.2209	Val acc: 94.9082	Best val epoch: 27
Epoch [89]:	Train loss: 0.1374	Train accuracy: 97.7407	Val loss: 0.2216	Val acc: 94.9917	Best val epoch: 27
Epoch [90]:	Train loss: 0.1325	Train accuracy: 97.8252	Val loss: 0.2199	Val acc: 95.0751	Best val epoch: 27
Epoch [91]:	Train loss: 0.1350	Train accuracy: 97.8041	Val loss: 0.2205	Val acc: 94.9917	Best val epoch: 27
Epoch [92]:	Train loss: 0.1345	Train accuracy: 97.8041	Val loss: 0.2204	Val acc: 94.9917	Best val epoch: 27
Epoch [93]:	Train loss: 0.1344	Train accuracy: 97.8674	Val loss: 0.2221	Val acc: 94.9082	Best val epoch: 27
Epoch [94]:	Train loss: 0.1338	Train accuracy: 97.8041	Val loss: 0.2224	Val acc: 94.9917	Best val epoch: 27
Epoch [95]:	Train loss: 0.1324	Train accuracy: 97.9307	Val loss: 0.2205	Val acc: 95.0751	Best val epoch: 27
Epoch [96]:	Train loss: 0.1314	Train accuracy: 97.9096	Val loss: 0.2218	Val acc: 94.9917	Best val epoch: 27
Epoch [97]:	Train loss: 0.1307	Train accuracy: 97.9941	Val loss: 0.2221	Val acc: 94.9917	Best val epoch: 27
Epoch [98]:	Train loss: 0.1311	Train accuracy: 97.9730	Val loss: 0.2225	Val acc: 94.9917	Best val epoch: 27
Epoch [99]:	Train loss: 0.1274	Train accuracy: 97.9941	Val loss: 0.2223	Val acc: 95.0751	Best val epoch: 27
Epoch [100]:	Train loss: 0.1292	Train accuracy: 97.8041	Val loss: 0.2221	Val acc: 95.0751	Best val epoch: 27
Epoch [101]:	Train loss: 0.1297	Train accuracy: 97.9730	Val loss: 0.2215	Val acc: 94.9917	Best val epoch: 27
Epoch [102]:	Train loss: 0.1291	Train accuracy: 97.9307	Val loss: 0.2212	Val acc: 94.9082	Best val epoch: 27
Epoch [103]:	Train loss: 0.1280	Train accuracy: 97.9730	Val loss: 0.2197	Val acc: 95.0751	Best val epoch: 27
Epoch [104]:	Train loss: 0.1261	Train accuracy: 98.1208	Val loss: 0.2208	Val acc: 94.9917	Best val epoch: 27
Epoch [105]:	Train loss: 0.1259	Train accuracy: 98.1630	Val loss: 0.2222	Val acc: 94.9917	Best val epoch: 27
Epoch [106]:	Train loss: 0.1273	Train accuracy: 98.0152	Val loss: 0.2207	Val acc: 94.9082	Best val epoch: 27
Epoch [107]:	Train loss: 0.1252	Train accuracy: 98.0786	Val loss: 0.2216	Val acc: 94.9082	Best val epoch: 27
Epoch [108]:	Train loss: 0.1252	Train accuracy: 98.1208	Val loss: 0.2199	Val acc: 95.1586	Best val epoch: 27
Epoch [109]:	Train loss: 0.1249	Train accuracy: 97.9730	Val loss: 0.2229	Val acc: 95.0751	Best val epoch: 27
Epoch [110]:	Train loss: 0.1253	Train accuracy: 98.0997	Val loss: 0.2231	Val acc: 94.9082	Best val epoch: 27
Epoch [111]:	Train loss: 0.1241	Train accuracy: 98.0574	Val loss: 0.2228	Val acc: 94.9917	Best val epoch: 27
Epoch [112]:	Train loss: 0.1238	Train accuracy: 98.0574	Val loss: 0.2234	Val acc: 94.9917	Best val epoch: 27
Epoch [113]:	Train loss: 0.1233	Train accuracy: 98.2052	Val loss: 0.2204	Val acc: 95.1586	Best val epoch: 27
Epoch [114]:	Train loss: 0.1230	Train accuracy: 98.1841	Val loss: 0.2232	Val acc: 95.0751	Best val epoch: 27
Epoch [115]:	Train loss: 0.1223	Train accuracy: 98.2052	Val loss: 0.2196	Val acc: 95.0751	Best val epoch: 27
Epoch [116]:	Train loss: 0.1208	Train accuracy: 98.0574	Val loss: 0.2210	Val acc: 95.1586	Best val epoch: 27
Epoch [117]:	Train loss: 0.1202	Train accuracy: 98.1841	Val loss: 0.2201	Val acc: 95.1586	Best val epoch: 27
Epoch [118]:	Train loss: 0.1210	Train accuracy: 98.0997	Val loss: 0.2240	Val acc: 94.8247	Best val epoch: 27
Epoch [119]:	Train loss: 0.1188	Train accuracy: 98.3530	Val loss: 0.2231	Val acc: 94.9917	Best val epoch: 27
Epoch [120]:	Train loss: 0.1208	Train accuracy: 98.1208	Val loss: 0.2226	Val acc: 94.9082	Best val epoch: 27
Epoch [121]:	Train loss: 0.1190	Train accuracy: 98.2264	Val loss: 0.2219	Val acc: 94.9917	Best val epoch: 27
Epoch [122]:	Train loss: 0.1195	Train accuracy: 98.1208	Val loss: 0.2230	Val acc: 94.8247	Best val epoch: 27
Epoch [123]:	Train loss: 0.1173	Train accuracy: 98.2475	Val loss: 0.2219	Val acc: 94.9917	Best val epoch: 27
Epoch [124]:	Train loss: 0.1178	Train accuracy: 98.2686	Val loss: 0.2228	Val acc: 94.9082	Best val epoch: 27
Epoch [125]:	Train loss: 0.1188	Train accuracy: 98.2052	Val loss: 0.2214	Val acc: 94.9082	Best val epoch: 27
Epoch [126]:	Train loss: 0.1179	Train accuracy: 98.1841	Val loss: 0.2216	Val acc: 94.9917	Best val epoch: 27
Epoch [127]:	Train loss: 0.1170	Train accuracy: 98.2686	Val loss: 0.2225	Val acc: 94.8247	Best val epoch: 27
